Seller Platform,Seller SKU,Manufacturer Name,Manufacturer Code,Product Title,Description,Packaging,QTY,Catagory,Subcategory,Product Page URL,Attachment URL,Images URL
highlandmetals,12300161124,highlandmetals,12300161124,"High Tensile Stainless Steel, .016, Upper, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300161124, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300161134,highlandmetals,12300161134,"High Tensile Stainless Steel, .016, Midsize, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300161134, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300161144,highlandmetals,12300161144,"High Tensile Stainless Steel, .016, Lower, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300161144, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300161214,highlandmetals,12300161214,"High Tensile Stainless Steel, .016, XL, Progressive, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300161214, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300161224,highlandmetals,12300161224,"High Tensile Stainless Steel, .016, Upper, Progressive, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300161224, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300161244,highlandmetals,12300161244,"High Tensile Stainless Steel, .016, Lower, Progressive, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300161244, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300181124,highlandmetals,12300181124,"High Tensile Stainless Steel, .018, Upper, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300181124, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300181134,highlandmetals,12300181134,"High Tensile Stainless Steel, .018, Midsize, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300181134, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300181144,highlandmetals,12300181144,"High Tensile Stainless Steel, .018, Lower, Natural, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300181144, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
highlandmetals,12300181214,highlandmetals,12300181214,"High Tensile Stainless Steel, .018, XL, Progressive, Pack of 100 wires",,pack,100, , ,http://www.highlandmetals.com/store/main.aspx?p=ItemDetailStyles&item=12300181214, ,https://www.highlandmetals.com/IMAGES_PRODUCT/WIRES-SS_LG.JPG
